time_min,T_air_room1_degC,T_prod_room1_degC,T_setpoint_room1_degC,door_open_room1,cooling_allocated_room1_W,T_air_room2_degC,T_prod_room2_degC,T_setpoint_room2_degC,door_open_room2,cooling_allocated_room2_W,T_air_room3_degC,T_prod_room3_degC,T_setpoint_room3_degC,door_open_room3,cooling_allocated_room3_W,T_air_room4_degC,T_prod_room4_degC,T_setpoint_room4_degC,door_open_room4,cooling_allocated_room4_W,T_air_room5_degC,T_prod_room5_degC,T_setpoint_room5_degC,door_open_room5,cooling_allocated_room5_W,P1_primary_W,P2_secondary_W,P3_freezer_W,P_total_fridge_W,P_total_W
0,3.0,3.0,3.0,0,0.0,4.0,4.0,4.0,0,0.0,2.0,2.0,2.0,0,0.0,5.0,5.0,5.0,0,0.0,-15.0,-15.0,-15.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0323,2.9991,3.0,0,80.81,4.0971,3.9952,4.0,0,242.7,2.0118,2.0106,2.0,0,29.48,5.0431,4.9999,5.0,0,107.64,-14.9679,-14.9979,-15.0,0,0.0,460.64,0.0,0.0,460.64,460.64
2,3.1155,2.9953,3.0,0,288.86,4.0665,4.0016,4.0,0,166.27,2.0432,2.0111,2.0,0,108.09,5.09,5.0066,5.0,0,224.91,-14.8482,-14.9934,-15.0,0,0.0,788.13,0.0,0.0,788.13,788.13
3,3.1822,2.9946,3.0,0,455.61,4.0328,4.0041,4.0,0,81.97,2.0569,2.0094,2.0,0,142.28,5.0655,5.0035,5.0,0,163.76,-14.8071,-14.9867,-15.0,0,0.0,843.62,0.0,0.0,843.62,843.62
4,3.1326,2.9989,3.0,0,331.48,4.0136,4.0028,4.0,0,34.1,2.0106,2.0093,2.0,0,26.6,5.0369,5.0056,5.0,0,92.3,-14.6994,-14.9808,-15.0,0,0.0,484.49,0.0,0.0,484.49,484.49
5,3.1066,2.9983,3.0,0,266.61,4.0234,3.9933,4.0,0,58.57,2.0838,2.0051,2.0,0,209.55,5.212,5.0149,5.0,0,529.97,-14.7691,-14.9632,-15.0,0,0.0,1064.7,0.0,0.0,1064.7,1064.7
6,3.1341,3.0011,3.0,0,335.31,3.9683,3.999,4.0,0,0.0,2.0987,2.0068,2.0,0,246.72,5.1863,5.026,5.0,0,465.8,-14.6716,-14.9525,-15.0,0,0.0,1047.84,0.0,0.0,1047.84,1047.84
7,3.191,3.0075,3.0,0,477.51,3.941,3.9994,4.0,0,0.0,2.1498,2.0197,2.0,0,374.49,5.15,5.0233,5.0,0,375.03,-14.6487,-14.9375,-15.0,0,0.0,1227.03,0.0,0.0,1227.03,1227.03
8,3.2151,3.0071,3.0,0,537.67,3.9605,4.0021,4.0,0,0.0,2.2123,2.0201,2.0,0,530.72,5.0544,5.0272,5.0,0,136.09,-14.513,-14.9317,-15.0,0,0.0,1204.47,0.0,0.0,1204.47,1204.47
9,3.1743,3.0155,3.0,0,435.66,4.0275,3.9997,4.0,0,68.7,2.1798,2.0275,2.0,0,449.49,4.9338,5.0279,5.0,0,0.0,-14.5261,-14.9148,-15.0,0,0.0,953.86,0.0,0.0,953.86,953.86
