session_id,station_id,arrival,departure,energy_needed_kwh,energy_delivered_kwh,unmet_kwh,pct_met,energy_cost_eur,penalty_eur,avg_price_eur_per_kwh
0,1,2025-09-20 23:45:00,2025-09-21 06:30:00,36.2787,36.2787,0.0,100.0,0.250336086,0.0,0.0069003598805910905
1,1,2025-09-22 16:45:00,2025-09-22 23:45:00,48.9896,48.9896,0.0,100.0,2.068597506000001,0.0,0.0422252377239251
2,1,2025-09-23 06:15:00,2025-09-23 10:30:00,11.3765,11.3765,0.0,100.00000000000001,1.5833925,0.0,0.13918098712257723
3,1,2025-09-23 15:30:00,2025-09-23 18:30:00,6.831,6.831,0.0,100.0,0.0,0.0,0.0
4,1,2025-09-23 19:45:00,2025-09-24 08:30:00,85.0652,85.0652,0.0,100.0,6.483365743999999,0.0,0.07621642862181008
5,1,2025-09-24 17:45:00,2025-09-25 06:45:00,42.5587,42.5587,0.0,100.0,2.2775658520000004,0.0,0.053515869892642405
6,1,2025-09-25 17:00:00,2025-09-26 08:30:00,81.2256,81.2256,0.0,100.0,5.2170488210000014,0.0,0.06422912014192572
7,1,2025-09-26 09:45:00,2025-09-27 07:30:00,110.4991,110.4991,0.0,100.0,2.1756244939999996,0.0,0.019689069811428324
8,1,2025-09-27 14:45:00,2025-09-27 17:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,2025-09-27 19:15:00,2025-09-28 02:30:00,17.262,17.262,0.0,100.0,1.657573681,0.0,0.09602442828177499
11,1,2025-09-28 11:15:00,2025-09-28 17:00:00,23.1125,23.1125,0.0,100.0,0.0,0.0,0.0
14,1,2025-09-29 04:45:00,2025-09-29 12:15:00,17.5856,17.5856,0.0,100.0,1.491729988,0.0,0.08482678941861523
16,1,2025-09-29 20:15:00,2025-09-30 08:15:00,39.3926,39.3926,0.0,100.0,4.104165008000001,0.0,0.10418619253362309
17,1,2025-09-30 12:15:00,2025-10-01 09:30:00,107.9546,107.9546,0.0,99.99999999999999,4.524536484999999,0.0,0.04191147468472857
20,1,2025-10-01 10:30:00,2025-10-01 15:45:00,28.2207,28.2207,0.0,100.0,0.0,0.0,0.0
22,1,2025-10-01 20:45:00,2025-10-02 04:15:00,50.1131,50.1131,0.0,100.0,4.426837571000002,0.0,0.08833693327692763
24,1,2025-10-02 16:45:00,2025-10-03 00:30:00,48.2636,48.2636,0.0,100.0,3.600108026,0.0,0.07459261277650238
26,1,2025-10-03 12:45:00,2025-10-03 15:45:00,12.0029,12.0029,0.0,100.0,0.0,0.0,0.0
27,1,2025-10-03 20:30:00,2025-10-04 08:15:00,44.859,44.859,0.0,100.00000000000001,3.7809390599999992,0.0,0.08428496087741588
29,1,2025-10-04 13:00:00,2025-10-04 14:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,2025-10-04 22:30:00,2025-10-05 03:00:00,11.4087,11.4087,0.0,100.0,0.020476587,0.0,0.0017948221094427938
32,1,2025-10-05 20:15:00,2025-10-06 01:00:00,29.909,29.909,0.0,100.0,2.35133511,0.0,0.07861630646293757
34,1,2025-10-06 19:45:00,2025-10-07 08:45:00,62.373,62.373,0.0,100.0,6.826527539999999,0.0,0.10944683661199556
36,1,2025-10-07 15:45:00,2025-10-08 04:00:00,43.3272,43.3272,0.0,99.99999999999999,3.6820255439999996,0.0,0.08498184844624161
39,1,2025-10-08 17:00:00,2025-10-08 23:45:00,30.1843,30.1843,0.0,100.0,2.969462536,0.0,0.09837771742263363
42,1,2025-10-09 18:45:00,2025-10-10 02:45:00,43.5697,43.5697,0.0,99.99999999999999,4.703199693999999,0.0,0.10794657052951936
45,1,2025-10-11 20:15:00,2025-10-11 23:15:00,5.3938,5.3938,0.0,100.0,0.6136556,0.0,0.11377055137379954
48,1,2025-10-13 14:00:00,2025-10-14 09:00:00,107.3878,107.3878,0.0,100.00000000000001,9.110908408999999,0.0,0.08484118688528863
51,1,2025-10-14 09:15:00,2025-10-14 13:00:00,20.4593,20.4593,0.0,100.0,0.02065128000000002,0.0,0.0010093835077446451
53,1,2025-10-14 16:15:00,2025-10-15 09:30:00,80.7291,80.7291,0.0,100.0,9.323079426000001,0.0,0.11548598245242424
56,1,2025-10-15 14:00:00,2025-10-15 18:15:00,22.7165,22.7165,0.0,100.0,0.0,0.0,0.0
58,1,2025-10-15 19:00:00,2025-10-15 20:30:00,7.9262,7.9262,0.0,100.0,1.4311882,0.0,0.18056423002195252
59,1,2025-10-15 21:45:00,2025-10-16 03:45:00,27.2501,27.2501,0.0,99.99999999999999,2.4863056909999997,0.0,0.09124024098994131
60,1,2025-10-16 11:15:00,2025-10-16 16:00:00,29.5398,29.5398,0.0,100.0,0.0,0.0,0.0
61,1,2025-10-16 18:00:00,2025-10-17 06:30:00,77.995,77.995,0.0,100.0,7.807192657999999,0.0,0.10009863014295786
65,1,2025-10-17 18:30:00,2025-10-18 00:45:00,27.7889,27.7889,0.0,100.0,3.304934976,0.0,0.11893003954816492
67,1,2025-10-18 21:30:00,2025-10-19 08:30:00,35.8173,35.8173,0.0,100.0,3.2893173269999996,0.0,0.09183599341658917
69,1,2025-10-19 19:45:00,2025-10-19 22:00:00,12.5992,12.5992,0.0,100.00000000000001,0.962882636,0.0,0.0764241091497873
71,1,2025-10-20 10:45:00,2025-10-20 15:00:00,21.916,21.916,0.0,100.0,0.0,0.0,0.0
73,1,2025-10-20 19:00:00,2025-10-21 07:30:00,62.412,62.412,0.0,100.0,3.187596,0.0,0.051073447413958854
74,1,2025-10-21 09:45:00,2025-10-21 10:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,2025-10-21 12:30:00,2025-10-21 18:15:00,25.9995,25.9995,0.0,100.0,0.0,0.0,0.0
77,1,2025-10-21 18:45:00,2025-10-22 08:45:00,64.3389,64.3389,0.0,100.0,5.669105574000001,0.0,0.08811318772935195
79,1,2025-10-22 09:30:00,2025-10-22 18:15:00,41.197,41.197,0.0,100.00000000000001,0.0,0.0,0.0
81,1,2025-10-22 20:00:00,2025-10-23 02:15:00,12.7697,12.7697,0.0,100.0,1.734419318,0.0,0.1358230277923522
82,1,2025-10-23 12:45:00,2025-10-23 18:30:00,38.2755,38.2755,0.0,100.0,0.0,0.0,0.0
84,1,2025-10-24 12:30:00,2025-10-24 17:30:00,25.1177,25.1177,0.0,100.0,0.0,0.0,0.0
86,1,2025-10-24 19:45:00,2025-10-25 05:30:00,46.0261,46.0261,0.0,100.0,1.4716994129999998,0.0,0.03197532297978755
87,1,2025-10-25 13:15:00,2025-10-25 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1,2025-10-25 23:00:00,2025-10-26 05:45:00,10.6469,10.6469,0.0,100.0,0.118723088,0.0,0.011150953610910218
90,1,2025-10-26 18:45:00,2025-10-27 04:30:00,19.6296,19.6296,0.0,100.0,0.9287270279999998,0.0,0.04731258038880058
93,1,2025-10-27 11:15:00,2025-10-27 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1,2025-10-27 17:15:00,2025-10-28 00:15:00,41.775,41.775,0.0,100.0,2.96892382,0.0,0.07106939126271694
96,1,2025-10-28 12:30:00,2025-10-28 15:15:00,5.924,5.924,0.0,100.00000000000001,0.015011154999999993,0.0,0.0025339559419311265
97,1,2025-10-28 17:00:00,2025-10-29 07:00:00,58.2045,58.2045,0.0,100.00000000000001,5.021810971,0.0,0.08627874083618964
100,1,2025-10-30 10:15:00,2025-10-30 12:00:00,4.2461,4.2461,0.0,100.0,0.0,0.0,0.0
102,1,2025-10-30 17:30:00,2025-10-31 03:15:00,27.357,27.357,0.0,100.0,2.3128247180000003,0.0,0.0845423371714735
104,1,2025-10-31 15:15:00,2025-11-01 06:30:00,90.7595,90.7595,0.0,100.0,3.4396405770000005,0.0,0.037898408177656336
106,1,2025-11-02 01:30:00,2025-11-02 08:15:00,8.2417,8.2417,0.0,100.0,0.40596117499999995,0.0,0.04925697064925925
107,1,2025-11-03 01:00:00,2025-11-03 05:45:00,27.9612,27.9612,0.0,100.0,1.3522063320000002,0.0,0.0483600965623793
109,1,2025-11-03 13:30:00,2025-11-03 18:00:00,30.1422,30.1422,0.0,100.0,0.006599048000000007,0.0,0.00021893053592637586
110,1,2025-11-03 20:00:00,2025-11-04 05:30:00,17.9274,17.9274,0.0,100.0,1.1963160419999999,0.0,0.06673115131028481
112,1,2025-11-04 16:45:00,2025-11-05 10:30:00,93.5136,93.5136,0.0,100.00000000000001,5.737594455000001,0.0,0.061355722108869734
115,1,2025-11-05 18:15:00,2025-11-07 03:45:00,185.1379,185.1379,0.0,100.0,10.822546857999997,0.0,0.0584566793617082
121,1,2025-11-07 18:30:00,2025-11-08 05:15:00,44.9628,44.9628,0.0,99.99999999999999,4.570174188000001,0.0,0.1016434516533668
124,1,2025-11-08 19:00:00,2025-11-09 04:30:00,18.0838,18.0838,0.0,100.0,1.9929396360000002,0.0,0.11020579944480696
125,1,2025-11-09 12:00:00,2025-11-09 16:00:00,23.4408,23.4408,0.0,100.0,0.0,0.0,0.0
126,1,2025-11-09 20:30:00,2025-11-10 08:45:00,26.9377,26.9377,0.0,100.0,2.400116624,0.0,0.08909879551706344
129,1,2025-11-10 19:00:00,2025-11-11 05:00:00,42.6838,42.6838,0.0,100.00000000000001,3.659003162,0.0,0.08572346328115116
132,1,2025-11-11 20:00:00,2025-11-12 06:00:00,58.3899,58.3899,0.0,100.0,3.845768931,0.0,0.06586359851618173
134,1,2025-11-12 14:00:00,2025-11-12 18:00:00,26.5259,26.5259,0.0,100.0,0.71562616,0.0,0.02697839319306791
136,1,2025-11-12 18:30:00,2025-11-12 23:30:00,27.1826,27.1826,0.0,100.0,2.1443506,0.0,0.07888688352107598
137,1,2025-11-13 00:00:00,2025-11-13 06:30:00,40.3535,40.3535,0.0,100.0,0.5643723600000001,0.0,0.013985710285353196
139,1,2025-11-13 09:00:00,2025-11-13 11:30:00,11.7581,11.7581,0.0,100.00000000000001,0.06699515099999998,0.0,0.005697787142480501
140,1,2025-11-13 13:00:00,2025-11-14 02:00:00,57.4638,57.4638,0.0,100.0,3.2773890229999996,0.0,0.05703397657307731
142,1,2025-11-14 15:15:00,2025-11-15 06:15:00,78.571,78.571,0.0,100.0,4.529932444999999,0.0,0.05765400014000075
145,1,2025-11-15 20:15:00,2025-11-16 03:30:00,29.8145,29.8145,0.0,100.0,2.657174785,0.0,0.08912357359673985
